TV,Radio,Newspaper,Sales
110.7,40.6,63.2,16.0
88.3,25.5,73.4,12.9
109.8,47.8,51.4,16.7
134.3,4.9,9.3,11.2
28.6,1.5,33.0,7.3
217.7,33.5,59.0,19.4
250.9,36.5,72.3,22.2
107.4,14.0,10.9,11.5
163.3,31.6,52.9,16.9
197.6,3.5,5.9,11.7
184.9,21.0,22.0,15.5
289.7,42.3,51.2,25.4
135.2,41.7,45.9,17.2
222.4,4.3,49.8,11.7
296.4,36.3,100.9,23.8
280.2,10.1,21.4,14.8
187.9,17.2,17.9,14.7
38.2,3.7,13.8,7.6
104.6,5.7,34.4,10.4
182.6,12.8,25.5,14.0
262.1,18.4,47.4,16.1
284.3,10.6,6.4,15.0
206.8,5.2,0.7,12.0
95.3,4.9,9.1,9.9
80.2,0.0,9.2,8.8
265.2,2.9,43.0,12.7
29.0,8.4,0.3,7.8
12.0,0.7,14.3,4.8
270.2,12.0,59.2,14.4
280.7,13.9,37.0,16.1
126.0,25.0,14.5,13.8
224.0,2.4,15.6,11.6
238.2,34.3,5.3,20.7
109.0,11.0,5.5,10.7
83.4,9.6,12.0,10.2
73.4,17.0,12.9,10.9
1.3,7.4,4.8,3.7
286.0,13.9,3.7,15.9
78.2,46.8,34.5,14.6
180.5,14.1,0.0,14.1
205.0,45.1,19.6,22.6
112.2,7.8,7.8,10.6
33.4,7.8,10.1,7.6
47.0,8.0,5.3,8.5
221.8,15.0,11.7,14.6
47.3,47.6,8.6,11.7
44.7,25.8,20.6,10.1
102.3,16.8,16.3,11.6
85.7,35.8,49.3,13.2
190.4,35.7,3.5,18.4
104.5,19.0,13.4,11.8
73.0,17.6,11.5,10.8
41.2,12.7,9.7,8.7
15.9,16.0,6.2,6.4
52.0,8.6,6.0,8.6
21.7,10.2,5.5,6.5
63.7,9.5,12.3,9.5
253.8,21.3,30.0,17.6
193.7,35.4,75.6,17.6
57.0,2.5,8.7,8.3
145.2,7.2,9.1,11.4
106.5,13.2,8.8,11.1
100.7,8.6,23.1,10.5
41.8,10.5,1.4,8.0
78.2,8.1,8.7,10.0
5.0,3.7,5.6,3.7
45.8,9.7,9.4,8.6
17.0,10.4,1.0,6.0
69.9,6.0,5.6,9.3
86.5,43.8,72.6,14.0
214.1,40.7,60.4,21.2
287.6,43.0,71.8,26.2
41.8,7.3,7.4,8.3
230.1,8.7,9.5,13.4
252.8,28.7,5.6,19.0
93.9,43.5,50.5,15.3
38.9,5.1,7.2,7.7
36.0,5.3,5.1,7.4
104.1,14.2,7.1,10.9
115.5,8.5,16.2,11.1
153.0,11.2,5.6,12.2
163.7,11.2,6.1,12.8
220.5,33.2,37.9,19.8
156.6,2.6,8.3,10.5
245.1,29.7,61.4,18.8
57.5,9.3,4.0,8.9
19.4,16.0,22.3,6.6
191.1,28.7,18.2,17.3
115.8,17.5,8.4,11.9
161.6,6.5,2.4,11.9
286.7,10.2,5.0,14.5
63.5,6.2,4.8,9.0
114.3,25.6,29.5,12.9
44.3,0.1,2.1,7.5
192.1,11.7,3.6,13.0
11.5,7.5,5.5,5.0
189.4,5.4,3.0,11.8
77.6,3.9,11.8,9.5
166.4,42.0,3.6,19.6
144.1,31.0,10.3,15.0
176.4,9.3,3.1,12.6
168.4,7.1,12.8,11.7
9.2,8.1,4.9,5.0
231.8,37.8,69.2,22.1
55.3,18.4,20.5,10.0
139.5,2.1,26.6,10.3
48.3,47.0,8.5,11.6
237.4,5.1,23.5,12.5
213.0,21.0,12.4,16.0
68.0,12.0,6.0,9.5
174.0,7.9,7.5,12.4
196.0,23.0,35.0,15.9
134.0,4.6,9.0,11.0
147.0,36.9,20.8,15.7
256.0,23.0,38.0,17.0
148.0,8.0,12.0,11.6
202.0,43.0,25.0,21.0
178.0,15.0,21.0,14.5
94.0,27.0,13.0,12.3
157.0,12.0,8.5,12.0
172.0,31.0,44.0,16.0
118.0,18.0,27.0,12.5
270.0,35.0,22.0,20.8
